nama_toko,lokasi_seller,url_toko,rating_toko,jumlah_produk,kategori_dijual,contoh_produk
Ayoto LED,Kab. Gresik,https://www.lazada.co.id/shop/ayoto-led/?itemId=8395082748&channelSource=pdp,-,1,Lainnya,"LAMPU LED MOTOR AYOTO M2B M2A PRO H6 HI LO 1500LM CAHAYA TERANG FOKUS KUNING PUTIH MOTOR BEBEK MATIC
Rp29.355"
Alva,Kab. Gresik,https://www.lazada.co.id/alva/?type=brand,-,1,Olahraga & Outdoor,"[Booking Fee] ALVA - ALVA N3 NEXT GEN Sepeda Motor Listrik
Rp1.000.000"
Emina,Kab. Gresik,https://www.lazada.co.id/emina/?type=brand,-,1,Lainnya,"Emina Sabun Muka 6/12pcs Bright Stuff & Prebiotic
Rp346.800"
Essager,Kab. Gresik,https://www.lazada.co.id/essager-250582/?type=brand,-,1,Lainnya,"Essager Konverter Tipe C / Lightning iPhone / USB / Micro USB 3.0 Adapter Transfer Data Isi Cepat Konektor OTG
Rp20.493"
Chery,Kab. Gresik,https://www.lazada.co.id/chery-78862/?type=brand,-,1,Lainnya,"Chery Tiggo 8 CSH Mobil [Jakarta] - Paket Kredit
Rp135.258.320"
Hanasui,Kab. Gresik,https://www.lazada.co.id/hanasui/?type=brand,-,1,Kecantikan,"[Viral Serum] Hanasui Vitamin C Serum - Brightens Glowing Skin, Fights Dullness, Antioxidants, Protects Skin from Free Radicals, Vitamin C Face Serum, Brightening Glowing Skincare, Moisturizes & Sooth"
Han River,Kab. Gresik,https://www.lazada.co.id/han-river-110068636/?type=brand,-,1,Lainnya,"Han River Air Fryer 8L 650W Visual Touch Screen
Rp464.999"
Glow & Lovely,Kab. Gresik,https://www.lazada.co.id/glow-&-lovely-36673/?type=brand,-,1,Kesehatan,"[Paket isi 3] Glow & Lovely Facial Wash Multivitamin 100gr
Rp85.300"
Giv,Kab. Gresik,https://www.lazada.co.id/giv/?type=brand,-,1,Fashion Muslim,"Giv White Hijab Saffron Niacinamide Sabun Mandi 2x400ml
Rp22.800"
GT Radial,Kab. Gresik,https://www.lazada.co.id/gt-radial/?type=brand,-,1,Lainnya,"GT Radial 600 13 Super Ukuran 6.00 R13 Ban Mobil Angkutan Pickup Box T120SS Carry Grand Max
Rp641.211"
Garnier,Kab. Gresik,https://www.lazada.co.id/garnier/?type=brand,-,1,Lainnya,"Garnier Micellar Cleansing Water 400ml - All Range | Membersih dalam sekali swipe | Suitable for All Skin | Brightening | Clear Skin
Rp65.600"
Frisian Flag,Kab. Gresik,https://www.lazada.co.id/shop/frisian-flag/?itemId=3420666172&channelSource=pdp,-,1,Lainnya,"Frisian Flag Omega Susu UHT Chocolate 110ml isi 36 pcs [Karton]
Rp84.500"
Furnikita Furniture,Kab. Gresik,https://www.lazada.co.id/shop/furnikita-furniture/?itemId=8688360186&channelSource=pdp,-,1,Lainnya,"Tabitha Moritz Lemari Plastik 4 Pintu Cermin Kunci
Rp409.800 -50%"
Focallure,Kab. Gresik,,-,1,Lainnya,"Focallure Eyebrow Gel Longlasting Smooth Cream 5 Colors
Rp
34.900
Rp
78.000
-55%"
Facetology,Kab. Gresik,https://www.lazada.co.id/lazada5350008360_facetology-126044421/?type=brand,-,1,Kecantikan,"Facetology Triple Care Sunscreen SPF 40 PA+++
Rp76.600"
Joyko,Kab. Gresik,https://www.lazada.co.id/joyko/?type=brand,-,1,Lainnya,"1 Pak (20 Kotak) - Isi Staples Kecil Joyko No.10 / Refill Stepler Joyko / Kenko / Esco / Isi Hekter Kecil / Anak Steples / Angel Atk
Rp22.110 -2%"
Jaysshop,Kab. Gresik,https://www.lazada.co.id/shop/jaysshop/?itemId=8316878580&channelSource=pdp,-,1,Handphone & Aksesoris,"( 1 TOPLES 20 PCS ) KABEL DATA ROBOT RBM100 11 MICRO 2.4A RBC100 11 TYPE-C & RBCC100 TYPE-C TO TYPE-C 60W fast charger
Rp155.628 -38%"
IRC,Kab. Gresik,https://www.lazada.co.id/irc/?type=brand,-,1,Lainnya,"BAN MATIC IRC TUBLES 80/90 - 90/90 Ring 14 DEPAN BELAKANG ENVIRO
Rp536.841 -15%"
Indomie,Kab. Gresik,https://www.lazada.co.id/indomie/?type=brand,-,1,Lainnya,"Indomie Mi Instan Goreng Jumbo 129 gr x 24pcs [Karton]
Rp90.200"
Honda Cengkareng,Kab. Gresik,https://www.lazada.co.id/shop/honda-cengkareng/?itemId=391305227&channelSource=pdp,-,1,Otomotif,"Honda Oli Gardan MPX Transmission Gear Oil
Rp27.630"
