Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
Kantor Bupati Gresik,4.3,116,Akhmad Mustofah,1,2022-04-05T12:07:10.164Z,"Pelayanan BKD (di lantai 3 kalau tidak salah) tidak maksimal. SK pensiunan milik ayah lama sekali prosesx berbulan-bulan. Pdahal daerah lain tidak selama itu. Dari temen yg ikut P3K, infonya penerbitan SK lama sekali pdhal daerah lain di jatim sudah bekerja malah. Wallahua'lam, semoga ada perbaikan"
Kantor Bupati Gresik,4.3,116,MOHAMMAD THOYYIBAH,5,2022-03-28T04:16:56.633Z,"Tempatnya bagus dan luas, pelayanannya kooperatif"
Kantor Bupati Gresik,4.3,116,totok pole,5,2022-02-10T07:18:41.965Z,
Kantor Bupati Gresik,4.3,116,Kenz 92,5,2021-11-29T02:13:39.020Z,
Kantor Bupati Gresik,4.3,116,Joker 77,5,2021-10-30T12:40:32.018Z,"Tolong diperbaiki sistem lalulintas di daerah manyar,,, sering macet parah🙏"
Kantor Bupati Gresik,4.3,116,yuliana imut (Satiyo),5,2021-09-25T10:50:21.200Z,Tempatnya asri dan nyaman
Kantor Bupati Gresik,4.3,116,BFA ddy,4,2021-06-03T06:47:24.514Z,Kantor bupati dan kantor beberapa dinas-dinas. Cukup rindang dan pelayanan dinasnya sangat memuaskan. Masjidnya berjarak dan tentu dingin. Ada tempat fotokopinya
Kantor Bupati Gresik,4.3,116,Dimaz Kurnia,5,2021-04-28T05:14:12.682Z,Pelayananya ramah sejuk dan nyaman
Kantor Bupati Gresik,4.3,116,Kamal Ladija Girsang,3,2021-04-22T15:39:55.986Z,
Kantor Bupati Gresik,4.3,116,aufa 014,1,2021-04-12T06:21:39.384Z,"Buat yg mau nyetak Kk ktp, di Mall peyanan publik lebih baiknya minta nomer petugas juga, sy kmaren bolak balik ternyata belum di verifikasi, kotak saran juga gk ada, janji hari jumat, katanya belum terverifikasi, trus ganti hari senin, belum terverifikasi, rabu juga gitu, mblueeettt ae"
Kantor Bupati Gresik,4.3,116,Christian T,5,2021-03-29T05:20:57.172Z,
Kantor Bupati Gresik,4.3,116,Driatmiko Herlambang,5,2021-03-25T02:20:27.687Z,
Kantor Bupati Gresik,4.3,116,Aminnatul Widyana,5,2021-02-09T15:35:41.306Z,
Kantor Bupati Gresik,4.3,116,Nurul Laili,5,2021-01-14T02:43:21.202Z,"Mau tanya bapak ibu,,,tempat DINAS KOPERASI GRESIK itu selingkungan Sama KANTOR BUPATI gresik kah"
Kantor Bupati Gresik,4.3,116,Raden Ajeng Mshira Hasnah Hasnah,1,2020-11-30T03:42:21.776Z,Didalamnya terdapat bank jatim..yg pelayanannya super super lambat...alias lemot polll....
Kantor Bupati Gresik,4.3,116,Muhammad Nasikh,4,2020-11-27T22:42:38.779Z,Megah
Kantor Bupati Gresik,4.3,116,Kresna duta,5,2020-11-09T11:01:45.252Z,Besar sekali kantor bupatinya 👍👍
Kantor Bupati Gresik,4.3,116,Aisyah Khulaidah Firosa,5,2020-11-04T00:30:48.231Z,Good
Kantor Bupati Gresik,4.3,116,reni dwi astuti,4,2020-10-28T14:54:09.407Z,Sering kesini karena urusan kedinasan.
Kantor Bupati Gresik,4.3,116,AGHA,5,2020-10-03T14:20:43.533Z,One of the nicest place to jog. Especially in the afternoon....
Kantor Bupati Gresik,4.3,116,Gee_ Hart0,5,2020-06-19T01:49:44.405Z,Taman luas. Parkir luas. Lapangan luas. Ada masjid. Pohon rindang.. Tmpat yg asri.. 👍
